Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,999.99900E-003,27.40000E-012,120.11500E-003,-60.00000E+000,-1.89600E-009,10.14900E-003
1,1,2,1.00000E+000,24.70000E-012,241.42300E-003,-59.39700E+000,341.00000E-012,142.57200E-003
1,1,3,1.00000E+000,26.00000E-012,362.15600E-003,-58.79400E+000,370.00000E-012,262.94400E-003
1,1,4,1.00000E+000,27.10000E-012,482.92900E-003,-58.19100E+000,-899.00000E-012,387.05300E-003
1,1,5,999.99900E-003,28.20000E-012,603.74600E-003,-57.58790E+000,-1.16700E-009,507.89000E-003
1,1,6,1.00000E+000,28.10000E-012,724.50700E-003,-56.98490E+000,-105.00000E-012,625.25800E-003
1,1,7,1.00000E+000,29.70000E-012,845.24000E-003,-56.38190E+000,-87.00000E-012,745.91500E-003
1,1,8,1.00000E+000,30.00000E-012,966.06900E-003,-55.77890E+000,-831.00000E-012,867.09500E-003
1,1,9,1.00000E+000,31.50000E-012,1.08683E+000,-55.17590E+000,-1.34300E-009,990.97300E-003
1,1,10,1.00000E+000,32.40000E-012,1.20759E+000,-54.57290E+000,-776.00000E-012,1.10833E+000
1,1,11,1.00000E+000,32.50000E-012,1.32833E+000,-53.96980E+000,-1.06600E-009,1.22911E+000
1,1,12,1.00000E+000,34.80000E-012,1.44906E+000,-53.36680E+000,-749.00000E-012,1.35324E+000
1,1,13,1.00000E+000,36.20000E-012,1.56987E+000,-52.76380E+000,-1.10200E-009,1.47067E+000
1,1,14,1.00000E+000,38.40000E-012,1.69062E+000,-52.16080E+000,-262.00000E-012,1.59476E+000
1,1,15,999.99900E-003,39.20000E-012,1.81135E+000,-51.55780E+000,31.00000E-012,1.71548E+000
1,1,16,1.00000E+000,43.00000E-012,1.93209E+000,-50.95480E+000,-401.00000E-012,1.83282E+000
1,1,17,1.00000E+000,45.30000E-012,2.05427E+000,-50.35180E+000,-208.00000E-012,1.95360E+000
1,1,18,1.00000E+000,49.30000E-012,2.17507E+000,-49.74870E+000,598.00000E-012,2.07579E+000
1,1,19,1.00000E+000,48.50000E-012,2.29604E+000,-49.14570E+000,628.00000E-012,2.19997E+000
1,1,20,1.00000E+000,55.20000E-012,2.41680E+000,-48.54270E+000,422.00000E-012,2.32092E+000
1,1,21,1.00000E+000,56.60000E-012,2.54549E+000,-47.93970E+000,1.07900E-009,2.43829E+000
1,1,22,999.99900E-003,59.60000E-012,2.66626E+000,-47.33670E+000,-1.04600E-009,2.57038E+000
1,1,23,1.00000E+000,62.60000E-012,2.78700E+000,-46.73370E+000,-778.00000E-012,2.68773E+000
1,1,24,999.99900E-003,67.40000E-012,2.90775E+000,-46.13070E+000,-837.00000E-012,2.80854E+000
1,1,25,1.00000E+000,74.00000E-012,3.04651E+000,-45.52760E+000,-261.00000E-012,2.93249E+000
1,1,26,999.99900E-003,79.10000E-012,3.16728E+000,-44.92460E+000,-661.00000E-012,3.07137E+000
1,1,27,1.00000E+000,83.10000E-012,3.28809E+000,-44.32160E+000,-525.00000E-012,3.18878E+000
1,1,28,1.00000E+000,88.30000E-012,3.40883E+000,-43.71860E+000,-97.00000E-012,3.31297E+000
1,1,29,1.00000E+000,100.80000E-012,3.54789E+000,-43.11560E+000,227.00000E-012,3.43370E+000
1,1,30,999.99900E-003,102.80000E-012,3.66882E+000,-42.51260E+000,183.00000E-012,3.57349E+000
1,1,31,999.99900E-003,114.20000E-012,3.78956E+000,-41.90950E+000,-313.00000E-012,3.69030E+000
1,1,32,999.99900E-003,127.10000E-012,3.91031E+000,-41.30650E+000,-109.00000E-012,3.81109E+000
1,1,33,999.99900E-003,133.90000E-012,4.04915E+000,-40.70350E+000,674.00000E-012,3.93517E+000
1,1,34,999.99900E-003,148.30000E-012,4.16991E+000,-40.10050E+000,186.00000E-012,4.07054E+000
1,1,35,1.00000E+000,177.30000E-012,4.29071E+000,-39.49750E+000,123.00000E-012,4.19147E+000
1,1,36,1.00000E+000,200.30000E-012,4.41145E+000,-38.89450E+000,914.00000E-012,4.31562E+000
1,1,37,999.99900E-003,230.50000E-012,4.54934E+000,-38.29150E+000,1.10900E-009,4.43312E+000
1,1,38,1.00000E+000,250.90000E-012,4.67010E+000,-37.68840E+000,584.00000E-012,4.57425E+000
1,1,39,999.99900E-003,325.80000E-012,4.79083E+000,-37.08540E+000,301.00000E-012,4.69165E+000
