Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,999.99900E-003,4.82140E-009,120.44700E-003,-60.00000E+000,-515.00000E-012,10.00300E-003
1,1,2,1.00000E+000,4.56660E-009,241.72300E-003,-59.39700E+000,-990.00000E-012,147.18400E-003
1,1,3,999.99800E-003,4.48620E-009,362.50200E-003,-58.79400E+000,-1.24800E-009,263.25200E-003
1,1,4,999.99900E-003,4.76390E-009,483.23200E-003,-58.19100E+000,-1.14600E-009,384.02800E-003
1,1,5,1.00000E+000,5.07470E-009,603.97700E-003,-57.58790E+000,-390.00000E-012,508.13000E-003
1,1,6,999.99900E-003,4.77390E-009,724.73600E-003,-56.98490E+000,-29.00000E-012,628.86800E-003
1,1,7,999.99800E-003,4.79080E-009,845.46500E-003,-56.38190E+000,-254.00000E-012,746.22800E-003
1,1,8,999.99800E-003,4.98600E-009,966.27000E-003,-55.77890E+000,345.00000E-012,866.87400E-003
1,1,9,999.99500E-003,6.01510E-009,1.08703E+000,-55.17590E+000,588.00000E-012,991.13400E-003
1,1,10,1.00000E+000,5.57380E-009,1.20778E+000,-54.57290E+000,470.00000E-012,1.10856E+000
1,1,11,999.99800E-003,5.48080E-009,1.32851E+000,-53.96980E+000,958.00000E-012,1.22915E+000
1,1,12,1.00000E+000,5.81770E-009,1.44972E+000,-53.36680E+000,-118.00000E-012,1.35516E+000
1,1,13,999.99400E-003,6.42620E-009,1.57046E+000,-52.76380E+000,-96.00000E-012,1.47460E+000
1,1,14,1.00000E+000,5.57870E-009,1.69132E+000,-52.16080E+000,-259.00000E-012,1.59542E+000
1,1,15,1.00000E+000,5.60670E-009,1.81203E+000,-51.55780E+000,648.00000E-012,1.71281E+000
1,1,16,999.99600E-003,7.01040E-009,1.93283E+000,-50.95480E+000,400.00000E-012,1.83355E+000
1,1,17,999.99900E-003,6.85470E-009,2.05763E+000,-50.35180E+000,-973.00000E-012,1.95781E+000
1,1,18,1.00000E+000,7.44340E-009,2.17840E+000,-49.74870E+000,-942.00000E-012,2.08245E+000
1,1,19,999.99600E-003,7.35700E-009,2.29919E+000,-49.14570E+000,-848.00000E-012,2.19988E+000
1,1,20,999.99900E-003,6.37620E-009,2.41993E+000,-48.54270E+000,-787.00000E-012,2.32070E+000
1,1,21,1.00000E+000,6.95660E-009,2.54466E+000,-47.93970E+000,-570.00000E-012,2.44138E+000
1,1,22,1.00000E+000,7.04530E-009,2.66585E+000,-47.33670E+000,589.00000E-012,2.57040E+000
1,1,23,1.00000E+000,8.77290E-009,2.78659E+000,-46.73370E+000,1.04600E-009,2.68727E+000
