Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time
1,1,1,0.00000E+000,-33.00000E-012,120.28200E-003
1,1,2,350.00000E-003,22.00000E-012,241.18600E-003
1,1,3,700.00000E-003,102.00000E-012,361.92600E-003
1,1,4,1.05000E+000,207.00000E-012,482.67200E-003
1,1,5,1.40000E+000,332.00000E-012,603.43500E-003
1,1,6,1.75000E+000,447.00000E-012,724.18800E-003
1,1,7,2.10000E+000,633.00000E-012,844.96200E-003
1,1,8,2.45000E+000,648.00000E-012,965.69400E-003
1,1,9,2.80000E+000,847.00000E-012,1.08643E+000
1,1,10,3.15000E+000,994.00000E-012,1.20720E+000
1,1,11,3.50000E+000,1.06600E-009,1.32794E+000
1,1,12,3.85000E+000,1.11400E-009,1.44942E+000
1,1,13,4.20000E+000,1.27500E-009,1.57018E+000
1,1,14,4.55000E+000,1.39700E-009,1.69098E+000
1,1,15,4.90000E+000,1.68600E-009,1.81171E+000
1,1,16,5.25000E+000,1.64300E-009,1.93249E+000
1,1,17,5.60000E+000,1.69000E-009,2.05327E+000
1,1,18,5.95000E+000,1.73700E-009,2.17407E+000
1,1,19,6.30000E+000,1.86100E-009,2.29487E+000
1,1,20,6.65000E+000,1.92600E-009,2.41561E+000
1,1,21,7.00000E+000,2.04100E-009,2.53635E+000
1,1,22,7.35000E+000,2.26400E-009,2.65712E+000
1,1,23,7.70000E+000,2.23300E-009,2.77787E+000
1,1,24,8.05000E+000,2.38200E-009,2.89860E+000
1,1,25,8.40000E+000,2.62800E-009,3.01933E+000
1,1,26,8.75000E+000,2.60300E-009,3.14006E+000
1,1,27,9.10000E+000,2.71300E-009,3.26121E+000
1,1,28,9.45000E+000,2.70500E-009,3.38194E+000
1,1,29,9.80000E+000,2.90900E-009,3.50268E+000
1,1,30,10.15000E+000,2.97400E-009,3.62344E+000
1,1,31,10.50000E+000,3.35100E-009,3.74419E+000
1,1,32,10.85000E+000,3.40800E-009,3.86496E+000
1,1,33,11.20000E+000,3.07100E-009,3.98569E+000
1,1,34,11.55000E+000,3.30700E-009,4.10643E+000
1,1,35,11.90000E+000,3.01800E-009,4.22718E+000
1,1,36,12.25000E+000,3.50600E-009,4.34807E+000
1,1,37,12.60000E+000,3.72300E-009,4.46882E+000
1,1,38,12.95000E+000,3.77000E-009,4.58959E+000
1,1,39,13.30000E+000,3.92200E-009,4.71035E+000
1,1,40,13.65000E+000,4.23400E-009,4.83109E+000
1,1,41,14.00000E+000,4.26300E-009,4.95187E+000
1,1,42,14.35000E+000,4.36800E-009,5.07301E+000
1,1,43,14.70000E+000,4.76000E-009,5.19375E+000
1,1,44,15.05000E+000,4.92100E-009,5.31455E+000
1,1,45,15.40000E+000,5.20000E-009,5.43529E+000
1,1,46,15.75000E+000,5.48300E-009,5.55603E+000
1,1,47,16.10000E+000,5.36200E-009,5.67678E+000
1,1,48,16.45000E+000,5.18000E-009,5.79759E+000
1,1,49,16.80000E+000,5.98700E-009,5.91834E+000
1,1,50,17.15000E+000,6.12900E-009,6.03907E+000
1,1,51,17.50000E+000,6.24200E-009,6.15982E+000
1,1,52,17.85000E+000,6.68000E-009,6.28065E+000
1,1,53,18.20000E+000,5.79000E-009,6.40137E+000
1,1,54,18.55000E+000,6.39000E-009,6.52212E+000
1,1,55,18.90000E+000,6.65400E-009,6.64293E+000
1,1,56,19.25000E+000,6.70900E-009,6.76370E+000
1,1,57,19.60000E+000,7.03300E-009,6.88447E+000
1,1,58,19.95000E+000,7.11700E-009,7.00520E+000
1,1,59,20.30000E+000,7.34900E-009,7.12593E+000
1,1,60,20.65000E+000,7.59900E-009,7.24667E+000
1,1,61,21.00000E+000,8.74900E-009,7.36741E+000
1,1,62,21.35000E+000,7.77900E-009,7.48816E+000
1,1,63,21.70000E+000,8.49600E-009,7.60891E+000
1,1,64,22.05000E+000,8.33700E-009,7.72967E+000
1,1,65,22.40000E+000,8.81700E-009,7.85044E+000
1,1,66,22.75000E+000,9.81600E-009,7.97121E+000
1,1,67,23.10000E+000,10.35700E-009,8.09202E+000
1,1,68,23.45000E+000,9.75400E-009,8.21282E+000
1,1,69,23.80000E+000,10.22700E-009,8.33357E+000
1,1,70,24.15000E+000,11.49700E-009,8.45429E+000
1,1,71,24.50000E+000,12.14700E-009,8.57504E+000
1,1,72,24.85000E+000,11.28300E-009,8.69579E+000
1,1,73,25.20000E+000,12.21300E-009,8.81655E+000
1,1,74,25.55000E+000,12.55900E-009,8.93730E+000
1,1,75,25.90000E+000,14.14100E-009,9.05803E+000
1,1,76,26.25000E+000,13.85500E-009,9.17877E+000
1,1,77,26.60000E+000,14.19600E-009,9.29971E+000
1,1,78,26.95000E+000,15.73800E-009,9.42045E+000
1,1,79,27.30000E+000,15.07600E-009,9.54118E+000
1,1,80,27.65000E+000,15.36500E-009,9.66191E+000
1,1,81,28.00000E+000,15.27000E-009,9.78267E+000
1,1,82,28.35000E+000,16.24800E-009,9.90342E+000
1,1,83,28.70000E+000,16.60000E-009,10.02416E+000
1,1,84,29.05000E+000,16.85100E-009,10.14490E+000
1,1,85,29.40000E+000,17.70800E-009,10.26564E+000
1,1,86,29.75000E+000,18.54500E-009,10.38652E+000
1,1,87,30.10000E+000,19.54100E-009,10.50726E+000
1,1,88,30.45000E+000,20.39900E-009,10.62799E+000
1,1,89,30.80000E+000,24.26100E-009,10.74877E+000
1,1,90,31.15000E+000,25.60800E-009,10.86954E+000
1,1,91,31.50000E+000,25.96500E-009,10.99030E+000
1,1,92,31.85000E+000,27.15700E-009,11.11108E+000
1,1,93,32.20000E+000,31.53900E-009,11.23184E+000
1,1,94,32.55000E+000,33.19100E-009,11.35258E+000
1,1,95,32.90000E+000,35.21900E-009,11.47332E+000
1,1,96,33.25000E+000,38.03800E-009,11.59407E+000
1,1,97,33.60000E+000,43.30800E-009,11.71483E+000
1,1,98,33.95000E+000,48.19000E-009,11.83559E+000
1,1,99,34.30000E+000,52.89800E-009,11.95632E+000
1,1,100,34.65000E+000,55.82800E-009,12.07707E+000
1,1,101,35.00000E+000,60.29000E-009,12.19782E+000
1,1,102,34.65000E+000,58.76800E-009,12.31875E+000
1,1,103,34.30000E+000,58.40100E-009,12.43949E+000
1,1,104,33.95000E+000,61.72500E-009,12.56024E+000
1,1,105,33.60000E+000,68.25100E-009,12.68097E+000
1,1,106,33.25000E+000,62.99500E-009,12.80171E+000
1,1,107,32.90000E+000,65.05300E-009,12.92247E+000
1,1,108,32.55000E+000,65.00400E-009,13.04321E+000
1,1,109,32.20000E+000,63.91600E-009,13.16395E+000
1,1,110,31.85000E+000,67.28900E-009,13.28468E+000
1,1,111,31.50000E+000,68.55100E-009,13.40542E+000
1,1,112,31.15000E+000,70.06100E-009,13.52619E+000
1,1,113,30.80000E+000,74.76300E-009,13.64706E+000
1,1,114,30.45000E+000,67.87500E-009,13.76781E+000
1,1,115,30.10000E+000,69.39600E-009,13.88858E+000
1,1,116,29.75000E+000,65.71800E-009,14.00934E+000
1,1,117,29.40000E+000,65.33000E-009,14.13014E+000
1,1,118,29.05000E+000,59.04800E-009,14.25094E+000
1,1,119,28.70000E+000,61.83300E-009,14.37169E+000
1,1,120,28.35000E+000,59.90200E-009,14.49242E+000
1,1,121,28.00000E+000,56.80300E-009,14.61315E+000
1,1,122,27.65000E+000,59.71700E-009,14.73390E+000
1,1,123,27.30000E+000,60.35600E-009,14.85467E+000
1,1,124,26.95000E+000,57.62600E-009,14.97541E+000
1,1,125,26.60000E+000,58.91600E-009,15.09614E+000
1,1,126,26.25000E+000,56.31000E-009,15.21688E+000
1,1,127,25.90000E+000,56.82700E-009,15.33768E+000
1,1,128,25.55000E+000,52.41100E-009,15.45842E+000
1,1,129,25.20000E+000,51.37200E-009,15.57916E+000
1,1,130,24.85000E+000,53.19000E-009,15.69990E+000
1,1,131,24.50000E+000,54.89100E-009,15.82064E+000
1,1,132,24.15000E+000,53.03600E-009,15.94138E+000
1,1,133,23.80000E+000,54.06800E-009,16.06216E+000
1,1,134,23.45000E+000,53.31800E-009,16.18291E+000
1,1,135,23.10000E+000,50.60600E-009,16.30365E+000
1,1,136,22.75000E+000,49.13200E-009,16.42462E+000
1,1,137,22.40000E+000,51.03600E-009,16.54537E+000
1,1,138,22.05000E+000,48.55100E-009,16.66612E+000
1,1,139,21.70000E+000,45.54500E-009,16.78688E+000
1,1,140,21.35000E+000,48.59400E-009,16.90765E+000
1,1,141,21.00000E+000,45.70700E-009,17.02842E+000
1,1,142,20.65000E+000,46.74700E-009,17.14973E+000
1,1,143,20.30000E+000,47.86100E-009,17.27052E+000
1,1,144,19.95000E+000,48.36800E-009,17.39126E+000
1,1,145,19.60000E+000,44.06600E-009,17.51199E+000
1,1,146,19.25000E+000,41.99700E-009,17.63273E+000
1,1,147,18.90000E+000,42.07300E-009,17.75349E+000
1,1,148,18.55000E+000,42.44200E-009,17.87427E+000
1,1,149,18.20000E+000,40.08200E-009,17.99499E+000
1,1,150,17.85000E+000,39.94300E-009,18.11574E+000
1,1,151,17.50000E+000,40.58100E-009,18.23662E+000
1,1,152,17.15000E+000,38.88900E-009,18.35739E+000
1,1,153,16.80000E+000,40.60000E-009,18.47812E+000
1,1,154,16.45000E+000,39.92900E-009,18.59887E+000
1,1,155,16.10000E+000,38.04900E-009,18.71959E+000
1,1,156,15.75000E+000,37.96800E-009,18.84034E+000
1,1,157,15.40000E+000,36.50000E-009,18.96110E+000
1,1,158,15.05000E+000,34.12200E-009,19.08183E+000
1,1,159,14.70000E+000,36.04600E-009,19.20257E+000
1,1,160,14.35000E+000,35.43700E-009,19.32332E+000
1,1,161,14.00000E+000,34.17000E-009,19.44407E+000
1,1,162,13.65000E+000,33.06400E-009,19.56508E+000
1,1,163,13.30000E+000,33.30000E-009,19.68584E+000
1,1,164,12.95000E+000,33.07300E-009,19.80657E+000
1,1,165,12.60000E+000,29.69400E-009,19.92731E+000
1,1,166,12.25000E+000,29.12700E-009,20.04806E+000
1,1,167,11.90000E+000,29.26200E-009,20.16887E+000
1,1,168,11.55000E+000,27.59500E-009,20.28967E+000
1,1,169,11.20000E+000,28.22500E-009,20.41041E+000
1,1,170,10.85000E+000,26.38400E-009,20.53113E+000
1,1,171,10.50000E+000,26.82500E-009,20.65188E+000
1,1,172,10.15000E+000,25.45000E-009,20.77264E+000
1,1,173,9.80000E+000,24.68100E-009,20.89337E+000
1,1,174,9.45000E+000,23.10600E-009,21.01413E+000
1,1,175,9.10000E+000,21.52900E-009,21.13486E+000
1,1,176,8.75000E+000,21.14500E-009,21.25570E+000
1,1,177,8.40000E+000,20.67000E-009,21.37668E+000
1,1,178,8.05000E+000,19.48000E-009,21.49743E+000
1,1,179,7.70000E+000,18.59500E-009,21.61817E+000
1,1,180,7.35000E+000,17.34500E-009,21.73891E+000
1,1,181,7.00000E+000,16.05200E-009,21.85965E+000
1,1,182,6.65000E+000,14.63600E-009,21.98039E+000
1,1,183,6.30000E+000,13.88300E-009,22.10114E+000
1,1,184,5.95000E+000,12.45800E-009,22.22188E+000
1,1,185,5.60000E+000,11.30200E-009,22.34279E+000
1,1,186,5.25000E+000,10.05000E-009,22.46354E+000
1,1,187,4.90000E+000,9.18900E-009,22.58430E+000
1,1,188,4.55000E+000,9.48200E-009,22.70505E+000
1,1,189,4.20000E+000,7.94200E-009,22.82580E+000
1,1,190,3.85000E+000,7.29200E-009,22.94656E+000
1,1,191,3.50000E+000,5.91900E-009,23.06731E+000
1,1,192,3.15000E+000,5.45400E-009,23.18807E+000
