Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,0.00000E+000,-27.00000E-012,108.65000E-003,5.00000E+000,-458.00000E-012,14.68000E-003
1,1,2,350.00000E-003,2.41800E-009,229.55300E-003,5.00000E+000,161.00000E-012,130.22200E-003
1,1,3,700.00000E-003,5.76100E-009,350.29400E-003,5.00000E+000,-85.00000E-012,250.95800E-003
1,1,4,1.05000E+000,8.92400E-009,471.04100E-003,5.00000E+000,-287.00000E-012,371.75600E-003
1,1,5,1.40000E+000,12.62000E-009,591.82400E-003,5.00000E+000,-322.00000E-012,492.48200E-003
1,1,6,1.75000E+000,17.74400E-009,712.62100E-003,5.00000E+000,-478.00000E-012,613.31900E-003
1,1,7,2.10000E+000,21.82500E-009,833.35400E-003,5.00000E+000,-613.00000E-012,734.04700E-003
1,1,8,2.45000E+000,27.15400E-009,954.52000E-003,5.00000E+000,-610.00000E-012,855.34800E-003
1,1,9,2.80000E+000,31.21500E-009,1.07526E+000,5.00000E+000,-486.00000E-012,976.20500E-003
1,1,10,3.15000E+000,36.86200E-009,1.19605E+000,5.00000E+000,-440.00000E-012,1.09672E+000
1,1,11,3.50000E+000,42.90600E-009,1.31679E+000,5.00000E+000,-363.00000E-012,1.21749E+000
1,1,12,3.85000E+000,47.92000E-009,1.43764E+000,5.00000E+000,-217.00000E-012,1.33823E+000
1,1,13,4.20000E+000,52.91600E-009,1.55839E+000,5.00000E+000,-45.00000E-012,1.45909E+000
1,1,14,4.55000E+000,60.30200E-009,1.67921E+000,5.00000E+000,91.00000E-012,1.57986E+000
1,1,15,4.90000E+000,63.01200E-009,1.79995E+000,5.00000E+000,241.00000E-012,1.70064E+000
1,1,16,5.25000E+000,68.90500E-009,1.92071E+000,5.00000E+000,619.00000E-012,1.82181E+000
1,1,17,5.60000E+000,78.33800E-009,2.04568E+000,5.00000E+000,673.00000E-012,1.94216E+000
1,1,18,5.95000E+000,83.80400E-009,2.16645E+000,5.00000E+000,864.00000E-012,2.06716E+000
1,1,19,6.30000E+000,91.84400E-009,2.28719E+000,5.00000E+000,782.00000E-012,2.18794E+000
1,1,20,6.65000E+000,100.24500E-009,2.40823E+000,5.00000E+000,634.00000E-012,2.30864E+000
1,1,21,7.00000E+000,103.43400E-009,2.54658E+000,5.00000E+000,350.00000E-012,2.42974E+000
1,1,22,7.35000E+000,114.83700E-009,2.66739E+000,5.00000E+000,745.00000E-012,2.56819E+000
1,1,23,7.70000E+000,118.19900E-009,2.78813E+000,5.00000E+000,585.00000E-012,2.68884E+000
1,1,24,8.05000E+000,126.13000E-009,2.90887E+000,5.00000E+000,428.00000E-012,2.80958E+000
1,1,25,8.40000E+000,133.59500E-009,3.04761E+000,5.00000E+000,241.00000E-012,2.93028E+000
1,1,26,8.75000E+000,144.47700E-009,3.16839E+000,5.00000E+000,558.00000E-012,3.06908E+000
1,1,27,9.10000E+000,143.76600E-009,3.28913E+000,5.00000E+000,372.00000E-012,3.18982E+000
1,1,28,9.45000E+000,159.05500E-009,3.40987E+000,5.00000E+000,194.00000E-012,3.31069E+000
1,1,29,9.80000E+000,159.92800E-009,3.54846E+000,5.00000E+000,-245.00000E-012,3.43208E+000
1,1,30,10.15000E+000,168.81900E-009,3.66924E+000,5.00000E+000,319.00000E-012,3.57002E+000
1,1,31,10.50000E+000,175.37500E-009,3.79015E+000,5.00000E+000,222.00000E-012,3.69068E+000
1,1,32,10.85000E+000,181.81000E-009,3.91088E+000,5.00000E+000,-26.00000E-012,3.81159E+000
1,1,33,11.20000E+000,182.13100E-009,4.04943E+000,5.00000E+000,-267.00000E-012,3.93233E+000
1,1,34,11.55000E+000,192.29100E-009,4.17022E+000,5.00000E+000,157.00000E-012,4.07091E+000
1,1,35,11.90000E+000,195.77100E-009,4.29096E+000,5.00000E+000,-44.00000E-012,4.19166E+000
1,1,36,12.25000E+000,211.62200E-009,4.41170E+000,5.00000E+000,-293.00000E-012,4.31237E+000
1,1,37,12.60000E+000,220.77100E-009,4.55034E+000,5.00000E+000,-547.00000E-012,4.43394E+000
1,1,38,12.95000E+000,227.86000E-009,4.67116E+000,5.00000E+000,-111.00000E-012,4.57182E+000
1,1,39,13.30000E+000,234.91300E-009,4.79208E+000,5.00000E+000,-461.00000E-012,4.69311E+000
1,1,40,13.65000E+000,239.07100E-009,4.91281E+000,5.00000E+000,-598.00000E-012,4.81352E+000
1,1,41,14.00000E+000,261.79200E-009,5.05128E+000,5.00000E+000,-590.00000E-012,4.93435E+000
1,1,42,14.35000E+000,265.70600E-009,5.17210E+000,5.00000E+000,-408.00000E-012,5.07291E+000
1,1,43,14.70000E+000,283.20600E-009,5.29286E+000,5.00000E+000,-605.00000E-012,5.19354E+000
