Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time
1,1,1,10.00000E+000,745.57800E-009,126.64900E-003
1,1,2,10.00000E+000,741.16300E-009,247.59900E-003
1,1,3,10.00000E+000,733.00500E-009,368.33800E-003
1,1,4,10.00000E+000,747.76100E-009,489.11500E-003
1,1,5,10.00000E+000,744.50800E-009,609.86000E-003
1,1,6,10.00000E+000,745.70600E-009,730.60100E-003
1,1,7,10.00000E+000,747.22900E-009,851.40200E-003
1,1,8,10.00000E+000,749.92600E-009,972.14800E-003
1,1,9,10.00000E+000,745.81900E-009,1.09328E+000
1,1,10,10.00000E+000,751.23000E-009,1.21408E+000
1,1,11,10.00000E+000,755.04300E-009,1.33484E+000
1,1,12,10.00000E+000,752.41900E-009,1.45560E+000
1,1,13,10.00000E+000,738.72500E-009,1.57634E+000
1,1,14,10.00000E+000,751.71600E-009,1.69708E+000
1,1,15,10.00000E+000,759.96600E-009,1.81780E+000
1,1,16,10.00000E+000,753.60700E-009,1.93854E+000
1,1,17,10.00000E+000,753.48700E-009,2.05929E+000
1,1,18,10.00000E+000,749.13600E-009,2.18027E+000
1,1,19,10.00000E+000,748.95500E-009,2.30102E+000
1,1,20,10.00000E+000,743.14600E-009,2.42177E+000
1,1,21,10.00000E+000,747.49300E-009,2.54252E+000
1,1,22,10.00000E+000,746.33200E-009,2.66327E+000
1,1,23,10.00000E+000,741.74100E-009,2.78400E+000
1,1,24,10.00000E+000,755.54200E-009,2.90474E+000
1,1,25,10.00000E+000,750.20000E-009,3.02549E+000
1,1,26,10.00000E+000,748.80200E-009,3.14723E+000
1,1,27,10.00000E+000,754.53900E-009,3.26802E+000
1,1,28,10.00000E+000,750.18700E-009,3.38878E+000
1,1,29,10.00000E+000,754.29100E-009,3.50956E+000
1,1,30,10.00000E+000,746.41700E-009,3.63034E+000
1,1,31,10.00000E+000,753.51900E-009,3.75108E+000
1,1,32,10.00000E+000,752.21300E-009,3.87189E+000
1,1,33,10.00000E+000,756.73300E-009,3.99266E+000
1,1,34,10.00000E+000,757.17200E-009,4.11341E+000
1,1,35,10.00000E+000,758.23800E-009,4.23419E+000
1,1,36,10.00000E+000,747.67600E-009,4.35496E+000
1,1,37,10.00000E+000,744.15200E-009,4.47570E+000
1,1,38,10.00000E+000,746.02900E-009,4.59650E+000
1,1,39,10.00000E+000,755.64200E-009,4.71740E+000
1,1,40,10.00000E+000,756.17400E-009,4.83814E+000
1,1,41,10.00000E+000,753.93000E-009,4.95895E+000
1,1,42,10.00000E+000,761.12800E-009,5.07973E+000
1,1,43,10.00000E+000,758.82500E-009,5.20050E+000
1,1,44,10.00000E+000,759.70000E-009,5.32125E+000
1,1,45,10.00000E+000,766.95100E-009,5.44199E+000
1,1,46,10.00000E+000,769.00100E-009,5.56274E+000
1,1,47,10.00000E+000,762.13400E-009,5.68349E+000
1,1,48,10.00000E+000,756.61400E-009,5.80422E+000
1,1,49,10.00000E+000,759.89700E-009,5.92496E+000
1,1,50,10.00000E+000,760.12700E-009,6.04570E+000
1,1,51,10.00000E+000,759.52400E-009,6.16642E+000
1,1,52,10.00000E+000,764.41700E-009,6.28718E+000
1,1,53,10.00000E+000,766.70900E-009,6.40806E+000
1,1,54,10.00000E+000,772.56500E-009,6.52885E+000
1,1,55,10.00000E+000,772.73000E-009,6.64961E+000
1,1,56,10.00000E+000,768.79700E-009,6.77037E+000
1,1,57,10.00000E+000,765.24900E-009,6.89115E+000
1,1,58,10.00000E+000,764.99900E-009,7.01194E+000
1,1,59,10.00000E+000,764.58300E-009,7.13268E+000
1,1,60,10.00000E+000,754.72000E-009,7.25345E+000
1,1,61,10.00000E+000,750.94000E-009,7.37419E+000
1,1,62,10.00000E+000,758.90400E-009,7.49495E+000
1,1,63,10.00000E+000,762.20400E-009,7.61571E+000
1,1,64,10.00000E+000,761.16300E-009,7.73684E+000
1,1,65,10.00000E+000,751.67100E-009,7.85762E+000
1,1,66,10.00000E+000,757.95200E-009,7.97837E+000
1,1,67,10.00000E+000,753.64000E-009,8.09918E+000
1,1,68,10.00000E+000,771.24200E-009,8.21992E+000
1,1,69,10.00000E+000,772.92800E-009,8.34077E+000
