Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time
1,1,1,10.00000E+000,1.19002E-006,118.98900E-003
1,1,2,10.00000E+000,1.20526E-006,240.99600E-003
1,1,3,10.00000E+000,1.18719E-006,362.86300E-003
1,1,4,10.00000E+000,1.20220E-006,484.78700E-003
1,1,5,10.00000E+000,1.19578E-006,606.65200E-003
1,1,6,10.00000E+000,1.20993E-006,728.49600E-003
1,1,7,10.00000E+000,1.20553E-006,850.36700E-003
1,1,8,10.00000E+000,1.20538E-006,972.35000E-003
1,1,9,10.00000E+000,1.18819E-006,1.09420E+000
1,1,10,10.00000E+000,1.18669E-006,1.21610E+000
1,1,11,10.00000E+000,1.20429E-006,1.33796E+000
1,1,12,10.00000E+000,1.20299E-006,1.45983E+000
1,1,13,10.00000E+000,1.19670E-006,1.58176E+000
1,1,14,10.00000E+000,1.20038E-006,1.70360E+000
1,1,15,10.00000E+000,1.20811E-006,1.82546E+000
1,1,16,10.00000E+000,1.20373E-006,1.94735E+000
1,1,17,10.00000E+000,1.19267E-006,2.06929E+000
1,1,18,10.00000E+000,1.19685E-006,2.19124E+000
1,1,19,10.00000E+000,1.18965E-006,2.31314E+000
1,1,20,10.00000E+000,1.20273E-006,2.43503E+000
1,1,21,10.00000E+000,1.20209E-006,2.55693E+000
1,1,22,10.00000E+000,1.18866E-006,2.67879E+000
1,1,23,10.00000E+000,1.19879E-006,2.80065E+000
1,1,24,10.00000E+000,1.20236E-006,2.92255E+000
1,1,25,10.00000E+000,1.20894E-006,3.04441E+000
1,1,26,10.00000E+000,1.19822E-006,3.16627E+000
1,1,27,10.00000E+000,1.19659E-006,3.28815E+000
1,1,28,10.00000E+000,1.19387E-006,3.41000E+000
1,1,29,10.00000E+000,1.18713E-006,3.53184E+000
1,1,30,10.00000E+000,1.19515E-006,3.65378E+000
1,1,31,10.00000E+000,1.20624E-006,3.77563E+000
1,1,32,10.00000E+000,1.20086E-006,3.89756E+000
1,1,33,10.00000E+000,1.19396E-006,4.01943E+000
1,1,34,10.00000E+000,1.19513E-006,4.14126E+000
1,1,35,10.00000E+000,1.19321E-006,4.26318E+000
1,1,36,10.00000E+000,1.19554E-006,4.38505E+000
1,1,37,10.00000E+000,1.19918E-006,4.50693E+000
1,1,38,10.00000E+000,1.19424E-006,4.62878E+000
1,1,39,10.00000E+000,1.19559E-006,4.75064E+000
1,1,40,10.00000E+000,1.19705E-006,4.87249E+000
1,1,41,10.00000E+000,1.19234E-006,4.99442E+000
1,1,42,10.00000E+000,1.19513E-006,5.11630E+000
1,1,43,10.00000E+000,1.19676E-006,5.23818E+000
1,1,44,10.00000E+000,1.19694E-006,5.36014E+000
1,1,45,10.00000E+000,1.19992E-006,5.48209E+000
1,1,46,10.00000E+000,1.19541E-006,5.60398E+000
1,1,47,10.00000E+000,1.19521E-006,5.72611E+000
1,1,48,10.00000E+000,1.18911E-006,5.84906E+000
1,1,49,10.00000E+000,1.19542E-006,5.97099E+000
1,1,50,10.00000E+000,1.18481E-006,6.09285E+000
1,1,51,10.00000E+000,1.20010E-006,6.21471E+000
1,1,52,10.00000E+000,1.18904E-006,6.33663E+000
1,1,53,10.00000E+000,1.19391E-006,6.45847E+000
1,1,54,10.00000E+000,1.19197E-006,6.58045E+000
1,1,55,10.00000E+000,1.18587E-006,6.70229E+000
1,1,56,10.00000E+000,1.18772E-006,6.82414E+000
1,1,57,10.00000E+000,1.18870E-006,6.94601E+000
1,1,58,10.00000E+000,1.19935E-006,7.06787E+000
1,1,59,10.00000E+000,1.19571E-006,7.18973E+000
1,1,60,10.00000E+000,1.18299E-006,7.31176E+000
1,1,61,10.00000E+000,1.19501E-006,7.43490E+000
1,1,62,10.00000E+000,1.19043E-006,7.55683E+000
1,1,63,10.00000E+000,1.19420E-006,7.67869E+000
1,1,64,10.00000E+000,1.20259E-006,7.80055E+000
1,1,65,10.00000E+000,1.20452E-006,7.92245E+000
1,1,66,10.00000E+000,1.18556E-006,8.04431E+000
1,1,67,10.00000E+000,1.18920E-006,8.16624E+000
1,1,68,10.00000E+000,1.18474E-006,8.28817E+000
1,1,69,10.00000E+000,1.17522E-006,8.41005E+000
1,1,70,10.00000E+000,1.19075E-006,8.53193E+000
1,1,71,10.00000E+000,1.17877E-006,8.65386E+000
1,1,72,10.00000E+000,1.18354E-006,8.77573E+000
1,1,73,10.00000E+000,1.17716E-006,8.89764E+000
1,1,74,10.00000E+000,1.16979E-006,9.01952E+000
1,1,75,10.00000E+000,1.19302E-006,9.14152E+000
1,1,76,10.00000E+000,1.18658E-006,9.26427E+000
1,1,77,10.00000E+000,1.18113E-006,9.38615E+000
1,1,78,10.00000E+000,1.17332E-006,9.50805E+000
1,1,79,10.00000E+000,1.17135E-006,9.62991E+000
1,1,80,10.00000E+000,1.18396E-006,9.75177E+000
1,1,81,10.00000E+000,1.18379E-006,9.87364E+000
1,1,82,10.00000E+000,1.19091E-006,9.99564E+000
1,1,83,10.00000E+000,1.18221E-006,10.11750E+000
